PlayerID,,,,,,Popular Stats,,,,,,,,,Additional Stats,,,,,,,
,Player,Team,Pos,G,Min,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,OREB,DREB,3PA,3P%,FGM,FGA,FTM,FTA
481,A''ja Wilson,LVA,C,40,31.2,23.4,10.2,3.1,1.6,2.3,0.6,50.5,85.5,2.2,2.3,7.9,1.5,42.4,8.3,16.4,6.2,7.3
539,Kelsey Mitchell,IND,G,44,31.4,20.2,1.8,3.4,0.9,0.2,2.5,45.6,78.4,1.8,0.4,1.3,6.4,39.4,7.2,15.7,3.4,4.3
425,Kelsey Plum,LAS,G,43,35.1,19.5,3.1,5.7,1.2,0.1,2.3,42.2,89.3,3.0,0.2,2.8,6.5,35.5,6.1,14.4,5.1,5.7
415,Dearica Hamby,LAS,F,44,31.2,18.4,7.9,3.3,1.6,0.5,0.3,57.2,62.7,2.7,2.6,5.4,1.2,27.8,7.4,12.9,3.4,5.4
326,Nneka Ogwumike,SEA,F,44,30.9,18.3,7.0,2.3,1.1,0.4,1.5,51.9,82.2,1.9,1.3,5.7,4.1,36.7,7.3,14.0,2.2,2.7
297,Allisha Gray,ATL,G,42,34.5,18.4,5.3,3.5,1.1,0.4,2.3,45.1,79.9,1.8,0.9,4.5,6.1,38.4,5.9,13.0,4.4,5.5
574,Napheesa Collier,MIN,F,33,32.3,22.9,7.3,3.2,1.6,1.5,1.5,53.1,90.6,2.1,1.9,5.4,3.8,40.3,8.3,15.7,4.7,5.2
571,Jackie Young,LVA,G,44,30.4,16.5,4.5,5.1,1.3,0.4,1.8,47.4,89.4,2.2,1.2,3.3,5.1,35.7,5.9,12.5,2.9,3.2
368,Tina Charles,CON,C,43,28.4,16.3,5.8,1.7,0.8,0.4,0.3,43.8,85.7,1.9,1.4,4.3,1.1,26.1,6.0,13.8,3.9,4.6
641,Sabrina Ionescu,NYL,G,38,31.4,18.2,4.9,5.7,1.3,0.4,2.1,40.1,93.3,2.6,0.8,4.1,7.1,29.9,6.1,15.1,4.0,4.3
979,Paige Bueckers,DAL,G,36,33.3,19.2,3.9,5.4,1.6,0.5,1.1,47.7,88.8,2.0,0.7,3.3,3.3,33.1,7.2,15.1,3.8,4.2
